"state","year","gdp"
"California",1981,368808
"Colorado",1981,43974
"Connecticut",1981,45642
"Delaware",1981,8839
"District of Columbia",1981,21740
"Florida",1981,112167
"Georgia",1981,63751
"Hawaii",1981,14640
"Idaho",1981,10677
"Illinois",1981,159649
"Indiana",1981,64724
"Iowa",1981,38272
"Kansas",1981,31978
"Kentucky",1981,41068
"Louisiana",1981,77201
"Maine",1981,11255
"Maryland",1981,53117
"Massachusetts",1981,77833
"Michigan",1981,114676
"Minnesota",1981,55404
"Mississippi",1981,24023
"Missouri",1981,57763
"Montana",1981,10201
"Nebraska",1981,20863
"Nevada",1981,13203
"New Hampshire",1981,10480
"New Jersey",1981,98755
"New Mexico",1981,18511
"New York",1981,261840
"North Carolina",1981,65869
"North Dakota",1981,9954
"Ohio",1981,132782
"Oklahoma",1981,45430
"Oregon",1981,31590
"Pennsylvania",1981,138573
"Rhode Island",1981,10729
"South Carolina",1981,31048
"South Dakota",1981,7661
"Tennessee",1981,50265
"Texas",1981,245235
"Utah",1981,17320
"Vermont",1981,5436
"Virginia",1981,66179
"Washington",1981,58918
"West Virginia",1981,19837
"Wisconsin",1981,57494
"Wyoming",1981,12703
"New England",1981,161375
"United States",1982,3211370
"Alabama",1982,41778
"Alaska",1982,23461
"Arizona",1982,35794
"Arkansas",1982,23527
"California",1982,393788
"Colorado",1982,47654
"Connecticut",1982,50196
"Delaware",1982,9498
"District of Columbia",1982,22958
"Florida",1982,122282
"Georgia",1982,68451
"Hawaii",1982,15740
"Idaho",1982,10689
"Illinois",1982,164267
"Indiana",1982,64982
"Iowa",1982,37289
"Kansas",1982,33491
"Kentucky",1982,42184
"Louisiana",1982,78067
"Maine",1982,12115
"Maryland",1982,56339
"Massachusetts",1982,83777
"Michigan",1982,115166
"Minnesota",1982,57472
"Mississippi",1982,24614
"Missouri",1982,60699
"Montana",1982,10206
"Nebraska",1982,21265
"Nevada",1982,13885
"New Hampshire",1982,11407
"New Jersey",1982,105759
"New Mexico",1982,19242
"New York",1982,282227
"North Carolina",1982,68971
"North Dakota",1982,9954
"Ohio",1982,134636
"Oklahoma",1982,49317
"Oregon",1982,31594
"Pennsylvania",1982,142077
"Rhode Island",1982,11420
"South Carolina",1982,32353
"South Dakota",1982,7709
"Tennessee",1982,52045
"Texas",1982,260085
"Utah",1982,18365
"Vermont",1982,5755
"Virginia",1982,71465
"Washington",1982,62933
"West Virginia",1982,20511
"Wisconsin",1982,59488
"Wyoming",1982,12422
"New England",1982,174671
"United States",1983,3445372
"Alabama",1983,45679
"Alaska",1983,22591
"Arizona",1983,39774
"Arkansas",1983,25292
"California",1983,426143
"Colorado",1983,50718
"Connecticut",1983,55528
"Delaware",1983,10611
"District of Columbia",1983,24573
"Florida",1983,136768
"Georgia",1983,76738
"Hawaii",1983,17260
"Idaho",1983,11834
"Illinois",1983,173119
"Indiana",1983,69335
"Iowa",1983,37481
"Kansas",1983,35257
"Kentucky",1983,44092
"Louisiana",1983,76881
"Maine",1983,13239
"Maryland",1983,62205
"Massachusetts",1983,93054
"Michigan",1983,127754
"Minnesota",1983,61950
"Mississippi",1983,25967
"Missouri",1983,65538
"Montana",1983,10584
"Nebraska",1983,21820
"Nevada",1983,15060
"New Hampshire",1983,12629
"New Jersey",1983,117962
"New Mexico",1983,19882
"New York",1983,305288
"North Carolina",1983,77543
"North Dakota",1983,10045
"Ohio",1983,144897
"Oklahoma",1983,47701
"Oregon",1983,33727
"Pennsylvania",1983,152042
"Rhode Island",1983,12323
"South Carolina",1983,35850
"South Dakota",1983,8123
"Tennessee",1983,57073
"Texas",1983,264883
"Utah",1983,19752
"Vermont",1983,6269
"Virginia",1983,79439
"Washington",1983,67949
"West Virginia",1983,20403
"Wisconsin",1983,63170
"Wyoming",1983,11578
"New England",1983,193042
"United States",1984,3853668
"Alabama",1984,50010
"Alaska",1984,23787
"Arizona",1984,46135
"Arkansas",1984,28465
"California",1984,482166
"Colorado",1984,56230
"Connecticut",1984,63618
"Delaware",1984,11925
"District of Columbia",1984,26584
"Florida",1984,155993
"Georgia",1984,88466
"Hawaii",1984,19132
"Idaho",1984,12586
"Illinois",1984,194244
"Indiana",1984,78859
"Iowa",1984,41264
"Kansas",1984,38442
"Kentucky",1984,49344
"Louisiana",1984,82623
"Maine",1984,14897
"Maryland",1984,69920
"Massachusetts",1984,106425
"Michigan",1984,143678
"Minnesota",1984,71369
"Mississippi",1984,28744
"Missouri",1984,74539
"Montana",1984,11010
"Nebraska",1984,24631
"Nevada",1984,16514
"New Hampshire",1984,14767
"New Jersey",1984,133572
"New Mexico",1984,21397
"New York",1984,339427
"North Carolina",1984,88151
"North Dakota",1984,10642
"Ohio",1984,163854
"Oklahoma",1984,51291
"Oregon",1984,37444
"Pennsylvania",1984,167390
"Rhode Island",1984,13801
"South Carolina",1984,41203
"South Dakota",1984,9194
"Tennessee",1984,63983
"Texas",1984,288637
"Utah",1984,22147
"Vermont",1984,6895
"Virginia",1984,89768
"Washington",1984,74170
"West Virginia",1984,22172
"Wisconsin",1984,70013
"Wyoming",1984,12152
"New England",1984,220403
"United States",1985,4126664
"Alabama",1985,53824
"Alaska",1985,26142
"Arizona",1985,50709
"Arkansas",1985,29326
"California",1985,523906
"Colorado",1985,59641
"Connecticut",1985,69231
"Delaware",1985,13092
"District of Columbia",1985,28534
"Florida",1985,170894
"Georgia",1985,98223
"Hawaii",1985,20722
"Idaho",1985,13044
"Illinois",1985,206281
"Indiana",1985,82011
"Iowa",1985,42431
"Kansas",1985,40658
"Kentucky",1985,51893
"Louisiana",1985,84391
"Maine",1985,16046
"Maryland",1985,76878
"Massachusetts",1985,116613
"Michigan",1985,153605
"Minnesota",1985,75832
"Mississippi",1985,30138
"Missouri",1985,77912
"Montana",1985,10941
"Nebraska",1985,25717
"Nevada",1985,17945
"New Hampshire",1985,16578
"New Jersey",1985,145929
"New Mexico",1985,22534
"New York",1985,364281
"North Carolina",1985,96535
"North Dakota",1985,10655
"Ohio",1985,174165
"Oklahoma",1985,52765
"Oregon",1985,39446
"Pennsylvania",1985,176873
"Rhode Island",1985,15222
"South Carolina",1985,43988
"South Dakota",1985,9588
"Tennessee",1985,68426
"Texas",1985,307224
"Utah",1985,24083
"Vermont",1985,7524
"Virginia",1985,97967
"Washington",1985,77341
"West Virginia",1985,22936
"Wisconsin",1985,73820
"Wyoming",1985,12205
"New England",1985,241214
"United States",1986,4340813
"Alabama",1986,56134
"Alaska",1986,19181
"Arizona",1986,55881
"Arkansas",1986,30799
"California",1986,563082
"Colorado",1986,60970
"Connecticut",1986,75305
"Delaware",1986,14138
"District of Columbia",1986,30079
"Florida",1986,185852
"Georgia",1986,108089
"Hawaii",1986,22437
"Idaho",1986,13220
"Illinois",1986,218696
"Indiana",1986,86437
"Iowa",1986,43226
"Kansas",1986,41795
"Kentucky",1986,53199
"Louisiana",1986,77107
"Maine",1986,17382
"Maryland",1986,83744
"Massachusetts",1986,127155
"Michigan",1986,163458
"Minnesota",1986,79450
"Mississippi",1986,30996
"Missouri",1986,83330
"Montana",1986,10979
"Nebraska",1986,26045
"Nevada",1986,19731
"New Hampshire",1986,18369
"New Jersey",1986,158836
"New Mexico",1986,21807
"New York",1986,390104
"North Carolina",1986,104785
"North Dakota",1986,9773
"Ohio",1986,182644
"Oklahoma",1986,48997
"Oregon",1986,41730
"Pennsylvania",1986,187386
"Rhode Island",1986,16622
"South Carolina",1986,47748
"South Dakota",1986,10067
"Tennessee",1986,73288
"Texas",1986,295721
"Utah",1986,24282
"Vermont",1986,8169
"Virginia",1986,107348
"Washington",1986,84015
"West Virginia",1986,22880
"Wisconsin",1986,77824
"Wyoming",1986,10522
"New England",1986,263002
"United States",1987,4649020
"Alabama",1987,60752
"Alaska",1987,22925
"Arizona",1987,60047
"Arkansas",1987,32664
"California",1987,615359
"Colorado",1987,63920
"Connecticut",1987,82984
"Delaware",1987,15568
"District of Columbia",1987,32129
"Florida",1987,204816
"Georgia",1987,117033
"Hawaii",1987,24273
"Idaho",1987,13996
"Illinois",1987,231210
"Indiana",1987,91650
"Iowa",1987,45283
"Kansas",1987,44164
"Kentucky",1987,56282
"Louisiana",1987,78488
"Maine",1987,19166
"Maryland",1987,91380
"Massachusetts",1987,138900
"Michigan",1987,169237
"Minnesota",1987,85365
"Mississippi",1987,33531
"Missouri",1987,88912
"Montana",1987,11383
"Nebraska",1987,26760
"Nevada",1987,21951
"New Hampshire",1987,20994
"New Jersey",1987,174629
"New Mexico",1987,22429
"New York",1987,418306
"North Carolina",1987,113262
"North Dakota",1987,10306
"Ohio",1987,191784
"Oklahoma",1987,49055
"Oregon",1987,44594
"Pennsylvania",1987,202910
"Rhode Island",1987,17891
"South Carolina",1987,52688
"South Dakota",1987,10669
"Tennessee",1987,80715
"Texas",1987,300667
"Utah",1987,25100
"Vermont",1987,9157
"Virginia",1987,117603
"Washington",1987,90325
"West Virginia",1987,23425
"Wisconsin",1987,82013
"Wyoming",1987,10370
"New England",1987,289091
"United States",1988,5053003
"Alabama",1988,66008
"Alaska",1988,21270
"Arizona",1988,64945
"Arkansas",1988,35004
"California",1988,671575
"Colorado",1988,67757
"Connecticut",1988,90707
"Delaware",1988,16887
"District of Columbia",1988,35226
"Florida",1988,224848
"Georgia",1988,126565
"Hawaii",1988,26799
"Idaho",1988,15285
"Illinois",1988,252197
"Indiana",1988,99492
"Iowa",1988,49088
"Kansas",1988,46698
"Kentucky",1988,61851
"Louisiana",1988,83196
"Maine",1988,21371
"Maryland",1988,101280
"Massachusetts",1988,151625
"Michigan",1988,180621
"Minnesota",1988,91896
"Mississippi",1988,35534
"Missouri",1988,95760
"Montana",1988,11703
"Nebraska",1988,29262
"Nevada",1988,24987
"New Hampshire",1988,22937
"New Jersey",1988,194709
"New Mexico",1988,23457
"New York",1988,456557
"North Carolina",1988,124303
"North Dakota",1988,9748
"Ohio",1988,205308
"Oklahoma",1988,52667
"Oregon",1988,49138
"Pennsylvania",1988,220582
"Rhode Island",1988,19738
"South Carolina",1988,57329
"South Dakota",1988,11173
"Tennessee",1988,87356
"Texas",1988,327354
"Utah",1988,27325
"Vermont",1988,10259
"Virginia",1988,128088
"Washington",1988,99051
"West Virginia",1988,25876
"Wisconsin",1988,89620
"Wyoming",1988,10991
"New England",1988,316638
"United States",1989,5366080
"Alabama",1989,68394
"Alaska",1989,23453
"Arizona",1989,67895
"Arkansas",1989,37128
"California",1989,722979
"Colorado",1989,71179
"Connecticut",1989,95831
"Delaware",1989,18900
"District of Columbia",1989,37469
"Florida",1989,241633
"Georgia",1989,133794
"Hawaii",1989,29427
"Idaho",1989,16909
"Illinois",1989,266608
"Indiana",1989,107199
"Iowa",1989,52907
"Kansas",1989,48814
"Kentucky",1989,65525
"Louisiana",1989,87574
"Maine",1989,22670
"Maryland",1989,107444
"Massachusetts",1989,158200
"Michigan",1989,190626
"Minnesota",1989,98313
"Mississippi",1989,37208
"Missouri",1989,101412
"Montana",1989,12630
"Nebraska",1989,31332
"Nevada",1989,27847
"New Hampshire",1989,23777
"New Jersey",1989,205075
"New Mexico",1989,24927
"New York",1989,473252
"North Carolina",1989,133866
"North Dakota",1989,10729
"Ohio",1989,217817
"Oklahoma",1989,55007
"Oregon",1989,52610
"Pennsylvania",1989,233162
"Rhode Island",1989,21059
"South Carolina",1989,61347
"South Dakota",1989,11790
"Tennessee",1989,91579
"Texas",1989,349952
"Utah",1989,28668
"Vermont",1989,11120
"Virginia",1989,137661
"Washington",1989,108064
"West Virginia",1989,26663
"Wisconsin",1989,95216
"Wyoming",1989,11437
"New England",1989,332656
"United States",1990,5651747
"Alabama",1990,71610
"Alaska",1990,25040
"Arizona",1990,70632
"Arkansas",1990,38680
"California",1990,773460
"Colorado",1990,75571
"Connecticut",1990,100169
"Delaware",1990,19928
"District of Columbia",1990,39688
"Florida",1990,256589
"Georgia",1990,140646
"Hawaii",1990,32534
"Idaho",1990,18004
"Illinois",1990,279019
"Indiana",1990,110860
"Iowa",1990,56121
"Kansas",1990,51874
"Kentucky",1990,68412
"Louisiana",1990,95177
"Maine",1990,23256
"Maryland",1990,112835
"Massachusetts",1990,159505
"Michigan",1990,193103
"Minnesota",1990,102757
"Mississippi",1990,38757
"Missouri",1990,103566
"Montana",1990,13242
"Nebraska",1990,33734
"Nevada",1990,30980
"New Hampshire",1990,23768
"New Jersey",1990,214357
"New Mexico",1990,26600
"New York",1990,493192
"North Carolina",1990,139658
"North Dakota",1990,11509
"Ohio",1990,227413
"Oklahoma",1990,57805
"Oregon",1990,56566
"Pennsylvania",1990,245281
"Rhode Island",1990,21664
"South Carolina",1990,65157
"South Dakota",1990,12770
"Tennessee",1990,94087
"Texas",1990,378943
"Utah",1990,31249
"Vermont",1990,11674
"Virginia",1990,144971
"Washington",1990,118640
"West Virginia",1990,27754
"Wisconsin",1990,100236
"Wyoming",1990,12705
"New England",1990,340035
"United States",1991,5842665
"Alabama",1991,76043
"Alaska",1991,22283
"Arizona",1991,73358
"Arkansas",1991,41572
"California",1991,790046
"Colorado",1991,79766
"Connecticut",1991,101475
"Delaware",1991,21746
"District of Columbia",1991,41430
"Florida",1991,267669
"Georgia",1991,147760
"Hawaii",1991,34357
"Idaho",1991,18852
"Illinois",1991,288473
"Indiana",1991,114637
"Iowa",1991,57944
"Kansas",1991,53981
"Kentucky",1991,71679
"Louisiana",1991,96043
"Maine",1991,23379
"Maryland",1991,115428
"Massachusetts",1991,160728
"Michigan",1991,197717
"Minnesota",1991,106102
"Mississippi",1991,40862
"Missouri",1991,109162
"Montana",1991,13875
"Nebraska",1991,35613
"Nevada",1991,32786
"New Hampshire",1991,24763
"New Jersey",1991,221915
"New Mexico",1991,30295
"New York",1991,497336
"North Carolina",1991,146367
"North Dakota",1991,11691
"Ohio",1991,233975
"Oklahoma",1991,59632
"Oregon",1991,59441
"Pennsylvania",1991,255163
"Rhode Island",1991,21738
"South Carolina",1991,68000
"South Dakota",1991,13736
"Tennessee",1991,101208
"Texas",1991,393574
"Utah",1991,33501
"Vermont",1991,11733
"Virginia",1991,151093
"Washington",1991,125895
"West Virginia",1991,29092
"Wisconsin",1991,104774
"Wyoming",1991,12977
"New England",1991,343814
"United States",1992,6167644
"Alabama",1992,81260
"Alaska",1992,22753
"Arizona",1992,82682
"Arkansas",1992,45018
"California",1992,807358
"Colorado",1992,87302
"Connecticut",1992,105759
"Delaware",1992,22907
"District of Columbia",1992,43187
"Florida",1992,284673
"Georgia",1992,160062
"Hawaii",1992,36129
"Idaho",1992,20632
"Illinois",1992,306236
"Indiana",1992,124714
"Iowa",1992,61870
"Kansas",1992,56902
"Kentucky",1992,77531
"Louisiana",1992,90890
"Maine",1992,24329
"Maryland",1992,119535
"Massachusetts",1992,167435
"Michigan",1992,212057
"Minnesota",1992,114518
"Mississippi",1992,44012
"Missouri",1992,115288
"Montana",1992,14937
"Nebraska",1992,38214
"Nevada",1992,36052
"New Hampshire",1992,26332
"New Jersey",1992,230774
"New Mexico",1992,32638
"New York",1992,519704
"North Carolina",1992,159337
"North Dakota",1992,12896
"Ohio",1992,250650
"Oklahoma",1992,62209
"Oregon",1992,63392
"Pennsylvania",1992,269849
"Rhode Island",1992,22665
"South Carolina",1992,71848
"South Dakota",1992,14886
"Tennessee",1992,111660
"Texas",1992,416401
"Utah",1992,35602
"Vermont",1992,12538
"Virginia",1992,158990
"Washington",1992,134469
"West Virginia",1992,30410
"Wisconsin",1992,112972
"Wyoming",1992,13179
"New England",1992,359058
"United States",1993,6467698
"Alabama",1993,84563
"Alaska",1993,23284
"Arizona",1993,89300
"Arkansas",1993,47566
"California",1993,826447
"Colorado",1993,95659
"Connecticut",1993,107680
"Delaware",1993,23509
"District of Columbia",1993,45356
"Florida",1993,304403
"Georgia",1993,171659
"Hawaii",1993,36732
"Idaho",1993,23100
"Illinois",1993,320079
"Indiana",1993,132108
"Iowa",1993,63386
"Kansas",1993,58953
"Kentucky",1993,81618
"Louisiana",1993,95866
"Maine",1993,25202
"Maryland",1993,125515
"Massachusetts",1993,173527
"Michigan",1993,226368
"Minnesota",1993,117947
"Mississippi",1993,47340
"Missouri",1993,118906
"Montana",1993,16054
"Nebraska",1993,39353
"Nevada",1993,40039
"New Hampshire",1993,27362
"New Jersey",1993,240389
"New Mexico",1993,36876
"New York",1993,537504
"North Carolina",1993,168006
"North Dakota",1993,13049
"Ohio",1993,259612
"Oklahoma",1993,65552
"Oregon",1993,69409
"Pennsylvania",1993,281704
"Rhode Island",1993,23566
"South Carolina",1993,76158
"South Dakota",1993,16105
"Tennessee",1993,119568
"Texas",1993,443775
"Utah",1993,38631
"Vermont",1993,13027
"Virginia",1993,167688
"Washington",1993,142500
"West Virginia",1993,31881
"Wisconsin",1993,120024
"Wyoming",1993,13791
"New England",1993,370365
"United States",1994,6912844
"Alabama",1994,90098
"Alaska",1994,23605
"Arizona",1994,100374
"Arkansas",1994,51416
"California",1994,861360
"Colorado",1994,104507
"Connecticut",1994,113115
"Delaware",1994,25638
"District of Columbia",1994,46655
"Florida",1994,327167
"Georgia",1994,187996
"Hawaii",1994,37395
"Idaho",1994,25455
"Illinois",1994,347971
"Indiana",1994,143335
"Iowa",1994,70161
"Kansas",1994,63304
"Kentucky",1994,87646
"Louisiana",1994,105119
"Maine",1994,26543
"Maryland",1994,133311
"Massachusetts",1994,185710
"Michigan",1994,251484
"Minnesota",1994,128167
"Mississippi",1994,51602
"Missouri",1994,130567
"Montana",1994,17062
"Nebraska",1994,43504
"Nevada",1994,45173
"New Hampshire",1994,29190
"New Jersey",1994,251573
"New Mexico",1994,41685
"New York",1994,555322
"North Carolina",1994,181288
"North Dakota",1994,14304
"Ohio",1994,281925
"Oklahoma",1994,68251
"Oregon",1994,75393
"Pennsylvania",1994,296602
"Rhode Island",1994,24354
"South Carolina",1994,82062
"South Dakota",1994,17330
"Tennessee",1994,129895
"Texas",1994,475990
"Utah",1994,42591
"Vermont",1994,13689
"Virginia",1994,177057
"Washington",1994,150805
"West Virginia",1994,34592
"Wisconsin",1994,129437
"Wyoming",1994,14070
"New England",1994,392602
"United States",1995,7299372
"Alabama",1995,95819
"Alaska",1995,25449
"Arizona",1995,109906
"Arkansas",1995,54612
"California",1995,911577
"Colorado",1995,112708
"Connecticut",1995,123212
"Delaware",1995,27721
"District of Columbia",1995,47094
"Florida",1995,346951
"Georgia",1995,203397
"Hawaii",1995,37763
"Idaho",1995,27762
"Illinois",1995,364451
"Indiana",1995,150404
"Iowa",1995,73137
"Kansas",1995,65282
"Kentucky",1995,91915
"Louisiana",1995,112876
"Maine",1995,28153
"Maryland",1995,139070
"Massachusetts",1995,196409
"Michigan",1995,256615
"Minnesota",1995,135124
"Mississippi",1995,54984
"Missouri",1995,140060
"Montana",1995,17519
"Nebraska",1995,45111
"Nevada",1995,49249
"New Hampshire",1995,31876
"New Jersey",1995,263468
"New Mexico",1995,42146
"New York",1995,582656
"North Carolina",1995,193467
"North Dakota",1995,14842
"Ohio",1995,297538
"Oklahoma",1995,70859
"Oregon",1995,81554
"Pennsylvania",1995,312989
"Rhode Island",1995,25550
"South Carolina",1995,87248
"South Dakota",1995,18054
"Tennessee",1995,137061
"Texas",1995,507725
"Utah",1995,46746
"Vermont",1995,13891
"Virginia",1995,186236
"Washington",1995,155069
"West Virginia",1995,36149
"Wisconsin",1995,135311
"Wyoming",1995,14608
"New England",1995,419090
"United States",1996,7749965
"Alabama",1996,100146
"Alaska",1996,26737
"Arizona",1996,119530
"Arkansas",1996,57976
"California",1996,964186
"Colorado",1996,121081
"Connecticut",1996,129111
"Delaware",1996,29156
"District of Columbia",1996,47823
"Florida",1996,370912
"Georgia",1996,219989
"Hawaii",1996,38125
"Idaho",1996,28915
"Illinois",1996,383504
"Indiana",1996,158350
"Iowa",1996,78819
"Kansas",1996,69616
"Kentucky",1996,96617
"Louisiana",1996,118807
"Maine",1996,29256
"Maryland",1996,145023
"Massachusetts",1996,210630
"Michigan",1996,270320
"Minnesota",1996,145880
"Mississippi",1996,57460
"Missouri",1996,148257
"Montana",1996,18119
"Nebraska",1996,49007
"Nevada",1996,54419
"New Hampshire",1996,34561
"New Jersey",1996,278191
"New Mexico",1996,44532
"New York",1996,620153
"North Carolina",1996,203815
"North Dakota",1996,16491
"Ohio",1996,311120
"Oklahoma",1996,76316
"Oregon",1996,93306
"Pennsylvania",1996,325001
"Rhode Island",1996,26454
"South Carolina",1996,90755
"South Dakota",1996,19419
"Tennessee",1996,143163
"Texas",1996,551513
"Utah",1996,52016
"Vermont",1996,14672
"Virginia",1996,197756
"Washington",1996,166540
"West Virginia",1996,37224
"Wisconsin",1996,143444
"Wyoming",1996,15752
"New England",1996,444684
"United States",1997,8549209
"Alabama",1997,104309
"Alaska",1997,25763
"Arizona",1997,132795
"Arkansas",1997,60248
"California",1997,1082051
"Colorado",1997,136296
"Connecticut",1997,140127
"Delaware",1997,33911
"District of Columbia",1997,51682
"Florida",1997,403677
"Georgia",1997,242669
"Hawaii",1997,37915
"Idaho",1997,29686
"Illinois",1997,422741
"Indiana",1997,172949
"Iowa",1997,83743
"Kansas",1997,75239
"Kentucky",1997,105103
"Louisiana",1997,118073
"Maine",1997,30675
"Maryland",1997,160965
"Massachusetts",1997,237390
"Michigan",1997,301805
"Minnesota",1997,157206
"Mississippi",1997,58657
"Missouri",1997,163749
"Montana",1997,19196
"Nebraska",1997,50719
"Nevada",1997,59468
"New Hampshire",1997,37992
"New Jersey",1997,308631
"New Mexico",1997,52460
"New York",1997,714244
"North Carolina",1997,232815
"North Dakota",1997,15815
"Ohio",1997,342183
"Oklahoma",1997,79527
"Oregon",1997,101039
"Pennsylvania",1997,355574
"Rhode Island",1997,28890
"South Carolina",1997,98354
"South Dakota",1997,19233
"Tennessee",1997,154693
"Texas",1997,613463
"Utah",1997,57159
"Vermont",1997,15529
"Virginia",1997,218905
"Washington",1997,194856
"West Virginia",1997,38677
"Wisconsin",1997,155603
"Wyoming",1997,14760
"New England",1997,490603
"United States",1998,9030651
"Alabama",1998,109776
"Alaska",1998,24067
"Arizona",1998,143542
"Arkansas",1998,62695
"California",1998,1158822
"Colorado",1998,149057
"Connecticut",1998,147616
"Delaware",1998,35955
"District of Columbia",1998,53891
"Florida",1998,431374
"Georgia",1998,264225
"Hawaii",1998,37627
"Idaho",1998,31152
"Illinois",1998,443392
"Indiana",1998,187005
"Iowa",1998,85833
"Kansas",1998,79114
"Kentucky",1998,109859
"Louisiana",1998,121548
"Maine",1998,32177
"Maryland",1998,171402
"Massachusetts",1998,249401
"Michigan",1998,315171
"Minnesota",1998,167915
"Mississippi",1998,61220
"Missouri",1998,169799
"Montana",1998,20208
"Nebraska",1998,52548
"Nevada",1998,63934
"New Hampshire",1998,40169
"New Jersey",1998,320905
"New Mexico",1998,50519
"New York",1998,739583
"North Carolina",1998,244146
"North Dakota",1998,16858
